"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7098","get started link","webkit","2026-06-25","passed","2026-06-25","","ui/speak-ukrainian.example.spec.ts","",""
"","4760","Step 2 – First FAQ item expands and reveals the answer text and arrow rotates","firefox","2026-06-25","passed","2026-06-25","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","ui/services-faq.spec.ts","",""
"","9523","Verify that the ""Клуб української мови ""Розмовляй"""" challenge page contains ""Допомогти проєкту"" button with redirecting to the payment modal","firefox","2026-06-25","passed","2026-06-25","Payment Challenge","ui/help-tests/payment-challenge.spec.ts","",""
"","6634","Verify that the News component displays the same news articles after navigating right and then left","chromium","2026-06-25","passed","2026-06-25","News page arrow navigation","ui/navigation-tests/news-arrow-navigation.spec.ts","",""
"","5028","Step 2 – First FAQ item expands and reveals the answer text and arrow rotates","chromium","2026-06-25","passed","2026-06-25","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","ui/services-faq.spec.ts","",""
"","3901","should display comments section","firefox","2026-06-25","passed","2026-06-25","Club details page","ui/club-tests/club-details-page.spec.ts","",""
"Verify that an error is returned when trying to get a club by an invalid ID.","79","should not get club by zero id","api","2026-06-25","passed","2026-06-25","Club API","api/club-api.spec.ts","",""
"","4861","should display contact information","firefox","2026-06-25","passed","2026-06-25","Club details page","ui/club-tests/club-details-page.spec.ts","",""
"","4810","should display main club details","chromium","2026-06-25","passed","2026-06-25","Club details page","ui/club-tests/club-details-page.spec.ts","",""
"Verify that a new club is created successfully and check the response structure.","118","should create club and validate response","api","2026-06-25","failed","2026-06-25","Club API","api/club-api.spec.ts","",""
"","12293","TC-91: Verify that Edit Profile button is displayed and clickable","chromium","2026-06-25","passed","2026-06-25","Profile Page Tests","ui/profile-page.spec.ts","",""
"","4009","should display contact information","chromium","2026-06-25","passed","2026-06-25","Club details page","ui/club-tests/club-details-page.spec.ts","",""
"","12764","TC-93: Verify that Add button is displayed in My Clubs section","firefox","2026-06-25","passed","2026-06-25","Profile Page Tests","ui/profile-page.spec.ts","",""
"","7009","TC-035: Verify that the club search returns correct results when searching by club name ""American Gymnastics Club"" @High","firefox","2026-06-25","failed","2026-06-25","Clubs Page - Search Functionality","ui/search-club.spec.ts","",""
"Verify homepage category selection redirects to the clubs filtered by the chosen category","6463","[TC-6]","chromium","2026-06-25","failed","2026-06-25","Right redirection from home page","ui/filter-tests/filter-check-test.spec.ts","",""
"","7057","Verify task details and embedded videos for task 73","webkit","2026-06-25","passed","2026-06-25","Challenge Task Page content pressnce","ui/challenge-tests/challenge-task-page.spec.ts","",""
"Verify Social Media and Donation links routing on the Challenge page","7157","Verify Social Media and Donation links routing on the Challenge page","firefox","2026-06-25","passed","2026-06-25","TC-043","ui/social-info-test.spec.ts","",""
"","5718","Verify task details and embedded videos for task 73","firefox","2026-06-25","passed","2026-06-25","Challenge Task Page content pressnce","ui/challenge-tests/challenge-task-page.spec.ts","",""
"Verify Social Media and Donation links routing on the Challenge page","11005","Verify Social Media and Donation links routing on the Challenge page","webkit","2026-06-25","passed","2026-06-25","TC-043","ui/social-info-test.spec.ts","",""
"","4044","Step 1 – Service page loads correctly and FAQ items are visible and collapsed","chromium","2026-06-25","passed","2026-06-25","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","ui/services-faq.spec.ts","",""
"","17204","TC-92: Verify navigation through sidebar tabs","webkit","2026-06-25","passed","2026-06-25","Profile Page Tests","ui/profile-page.spec.ts","",""
"","6101","Step 3 – Second FAQ item expands and reveals its content","webkit","2026-06-25","passed","2026-06-25","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","ui/services-faq.spec.ts","",""
"Verify that the full list of clubs is retrieved successfully and check the total count.","1965","should return a list of clubs","api","2026-06-25","passed","2026-06-25","Club API","api/club-api.spec.ts","",""
"","19527","TC-90: Verify that user profile information is displayed correctly","webkit","2026-06-25","passed","2026-06-25","Profile Page Tests","ui/profile-page.spec.ts","",""
"Verifies that the ""Help the Project"" button on a news article page is visible, enabled, and redirects the user to the correct donation URL.","7860","TC-07 Verify the functionality of the ""Help the Project"" button on a news article page","chromium","2026-06-25","passed","2026-06-25","Help the Project button","ui/help-tests/help-project-button.spec.ts","",""
"","6227","Verify that the News component displays the same news articles after navigating right and then left","firefox","2026-06-25","passed","2026-06-25","News page arrow navigation","ui/navigation-tests/news-arrow-navigation.spec.ts","",""
"Verify that club information on the News page matches the original club card on the Club page","5579","should display club on the news page information","chromium","2026-06-25","passed","2026-06-25","news club information","ui/club-tests/club-club-details-information.spec.ts","",""
"Verify that club information on the News page matches the original club card on the Club page","5258","should display club on the news page information","firefox","2026-06-25","passed","2026-06-25","news club information","ui/club-tests/club-club-details-information.spec.ts","",""
"","19922","Verify that the ""Навчай українською"" challenge page contains ""Допомогти проєкту"" button with redirecting to the payment modal","webkit","2026-06-25","passed","2026-06-25","Payment Challenge","ui/help-tests/payment-challenge.spec.ts","",""
"Verify that the clubs are located in the city selected in the City dropdown","4243","should search by hint category and exact name","chromium","2026-06-25","passed","2026-06-25","search-bar","ui/filter-tests/search-filter-by-hint.spec.ts","",""
"Verifies that an unauthorized user who navigates to a club details page and clicks the ""Написати менеджеру"" button sees the authentication modal with the message ""Увійдіть або зареєструйтеся!!!"".","6571","TC-094 — Verify that clicking ""Написати менеджеру"" button shows the authentication modal for unauthorized users","chromium","2026-06-25","passed","2026-06-25","","ui/message-manager.spec.ts","",""
"","9667","Navigate from Challenge page to a specific Task and interact with video @Lazur @E2E","firefox","2026-06-25","passed","2026-06-25","","ui/challenge-tests/navigate-challenge-task-video.spec.ts","",""
"","4789","get started link","firefox","2026-06-25","passed","2026-06-25","","ui/speak-ukrainian.example.spec.ts","",""
"","4477","should display comments section","chromium","2026-06-25","passed","2026-06-25","Club details page","ui/club-tests/club-details-page.spec.ts","",""
"Verify that the clubs are located in the city selected in the City dropdown","11060","should display clubs in the particular city","firefox","2026-06-25","passed","2026-06-25","club-city-located","ui/club-tests/club-city-located.spec.ts","",""
"","16668","TC-93: Verify that Add button is displayed in My Clubs section","webkit","2026-06-25","passed","2026-06-25","Profile Page Tests","ui/profile-page.spec.ts","",""
"Verifies that an unauthorized user who navigates to a club details page and clicks the ""Написати менеджеру"" button sees the authentication modal with the message ""Увійдіть або зареєструйтеся!!!"".","7002","TC-094 — Verify that clicking ""Написати менеджеру"" button shows the authentication modal for unauthorized users","firefox","2026-06-25","passed","2026-06-25","","ui/message-manager.spec.ts","",""
"","8414","Verify that the News component displays the same news articles after navigating right and then left","webkit","2026-06-25","passed","2026-06-25","News page arrow navigation","ui/navigation-tests/news-arrow-navigation.spec.ts","",""
"","8867","TC-035: Verify that the club search returns correct results when searching by club name ""American Gymnastics Club"" @High","webkit","2026-06-25","failed","2026-06-25","Clubs Page - Search Functionality","ui/search-club.spec.ts","",""
