"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the clubs are located in the city selected in the City dropdown","5293","should search by hint category and exact name","chromium","2026-06-24","passed","2026-06-24","search-bar","search-filter-by-hint.spec.ts","",""
"","6735","TC-07 Verify the functionality of the ""Help the Project"" button on a news article page","firefox","2026-06-24","passed","2026-06-24","Help the Project button","help-project-button.spec.ts","",""
"Verify that the user can filter clubs with categories using hints in the search bar","4864","should search by hint category","firefox","2026-06-24","passed","2026-06-24","search-bar","search-filter-by-hint.spec.ts","",""
"","10207","Verify that the ""Навчай українською"" challenge page contains ""Допомогти проєкту"" button with redirecting to the payment modal","chromium","2026-06-24","passed","2026-06-24","Payment Challenge","payment-challenge.spec.ts","",""
"","7368","TC-045 Verify the Tasks Carousel navigation (Arrows and Dots)","chromium","2026-06-24","passed","2026-06-24","Challenge page Tasks Carousel","challenge-carousel.spec.ts","",""
"","7367","should display contact information","webkit","2026-06-24","failed","2026-06-24","Club details page","club-details-page.spec.ts","",""
"","5442","Step 1 – Service page loads and shows FAQ items","chromium","2026-06-24","passed","2026-06-24","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","services-faq.spec.ts","",""
"","4965","should display main club details","chromium","2026-06-24","failed","2026-06-24","Club details page","club-details-page.spec.ts","",""
"","5967","Step 6 – Last FAQ item collapses on second click and arrow returns to original state","webkit","2026-06-24","passed","2026-06-24","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","services-faq.spec.ts","",""
"","9588","Verify that the ""Мовомаратон"" challenge page contains ""Допомогти проєкту"" button with redirecting to the payment modal","chromium","2026-06-24","passed","2026-06-24","Payment Challenge","payment-challenge.spec.ts","",""
"","5844","Full TC-030 flow – expand all FAQ items then collapse the last one","chromium","2026-06-24","passed","2026-06-24","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","services-faq.spec.ts","",""
"Verify that the search bar filters clubs by the exact club name","6326","should search by exact hint name","firefox","2026-06-24","passed","2026-06-24","search-bar","search-filter-by-hint.spec.ts","",""
"","5516","Step 6 – Last FAQ item collapses on second click and arrow returns to original state","chromium","2026-06-24","passed","2026-06-24","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","services-faq.spec.ts","",""
"Filter clubs by city show appropriate results","11784","[TC-05]","webkit","2026-06-24","passed","2026-06-24","Filter clubs by city","filter-by-city.spec.ts","",""
"Verify that the clubs are located in the city selected in the City dropdown","24764","should display clubs in the particular city","webkit","2026-06-24","passed","2026-06-24","club-city-located","club-city-located.spec.ts","",""
"","7119","Verify that the News component displays the same news articles after navigating right and then left","chromium","2026-06-24","passed","2026-06-24","News page arrow navigation","news-arrow-navigation.spec.ts","",""
"","10126","Navigate from Challenge page to a specific Task and interact with video @Lazur @E2E","webkit","2026-06-24","passed","2026-06-24","","navigate-challenge-task-video.spec.ts","",""
"","9421","Verify that the ""Клуб української мови ""Розмовляй"""" challenge page contains ""Допомогти проєкту"" button with redirecting to the payment modal","firefox","2026-06-24","passed","2026-06-24","Payment Challenge","payment-challenge.spec.ts","",""
"","15480","Verify that the ""Навчай українською челендж"" challenge page contains ""Допомогти проєкту"" button with redirecting to the payment modal","webkit","2026-06-24","passed","2026-06-24","Payment Challenge","payment-challenge.spec.ts","",""
"","10063","Verify that the ""Навчай українською челендж"" challenge page contains ""Допомогти проєкту"" button with redirecting to the payment modal","chromium","2026-06-24","passed","2026-06-24","Payment Challenge","payment-challenge.spec.ts","",""
"Verify that club information on the News page matches the original club card on the Club page","4720","should display club on the news page information","firefox","2026-06-24","failed","2026-06-24","news club information","club-club-details-information.spec.ts","",""
"","5458","should display club action buttons and comments section","chromium","2026-06-24","failed","2026-06-24","Club details page","club-details-page.spec.ts","",""
"","7311","should display club action buttons and comments section","webkit","2026-06-24","failed","2026-06-24","Club details page","club-details-page.spec.ts","",""
"","5373","Step 2 – First FAQ item collapses on click and expands back","chromium","2026-06-24","passed","2026-06-24","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","services-faq.spec.ts","",""
"","3928","get started link","firefox","2026-06-24","passed","2026-06-24","","speak-ukrainian.example.spec.ts","",""
"","7307","Step 1 – Service page loads and shows FAQ items","webkit","2026-06-24","passed","2026-06-24","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","services-faq.spec.ts","",""
"Verify that club information on the News page matches the original club card on the Club page","4730","should display club on the news page information","chromium","2026-06-24","failed","2026-06-24","news club information","club-club-details-information.spec.ts","",""
"Verify that the clubs are located in the city selected in the City dropdown","7284","should search by hint category and exact name","webkit","2026-06-24","passed","2026-06-24","search-bar","search-filter-by-hint.spec.ts","",""
"","18401","Verify that the ""Навчай українською"" challenge page contains ""Допомогти проєкту"" button with redirecting to the payment modal","webkit","2026-06-24","passed","2026-06-24","Payment Challenge","payment-challenge.spec.ts","",""
"","6250","Step 4 – Third FAQ item expands and reveals its content","webkit","2026-06-24","passed","2026-06-24","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","services-faq.spec.ts","",""
"Verify that the user can filter clubs with categories using hints in the search bar","5127","should search by hint category","chromium","2026-06-24","passed","2026-06-24","search-bar","search-filter-by-hint.spec.ts","",""
"Verify that the search bar filters clubs by the exact club name ","8818","should search by exact name","webkit","2026-06-24","passed","2026-06-24","search-bar","search-filter-by-hint.spec.ts","",""
"","7641","should display main club details","webkit","2026-06-24","failed","2026-06-24","Club details page","club-details-page.spec.ts","",""
"","19892","TC-029: Verify that all navigation menu links redirect to the correct pages","chromium","2026-06-24","passed","2026-06-24","Header Navigation Tests","header-navigation.spec.ts","",""
"","7135","should display comments section","webkit","2026-06-24","failed","2026-06-24","Club details page","club-details-page.spec.ts","",""
"Verify that a registered user with confirmed email can sign in from the main page, the modal closes, and the header reflects the logged-in state.","5935","Sign In - Successful Login","firefox","2026-06-24","passed","2026-06-24","","sign-in-successful-login.spec.ts","",""
"Verify Social Media and Donation links routing on the Challenge page","5456","Verify Social Media and Donation links routing on the Challenge page","firefox","2026-06-24","passed","2026-06-24","TC-043","social-info-test.spec.ts","",""
"","4161","Step 4 – Third FAQ item expands and reveals its content","firefox","2026-06-24","passed","2026-06-24","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","services-faq.spec.ts","",""
"","21684","TC-029: Verify that all navigation menu links redirect to the correct pages","webkit","2026-06-24","passed","2026-06-24","Header Navigation Tests","header-navigation.spec.ts","",""
"","4435","Step 5 – Verify accordion behaviour when multiple items are clicked","firefox","2026-06-24","passed","2026-06-24","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","services-faq.spec.ts","",""
"","9013","Verify that the News component displays the same news articles after navigating right and then left","webkit","2026-06-24","passed","2026-06-24","News page arrow navigation","news-arrow-navigation.spec.ts","",""
"","7525","Verify that team member names and roles are displayed correctly for all team members","chromium","2026-06-24","passed","2026-06-24","AboutUs team verification","about-us-page.spec.ts","",""
"Verify that the user can filter clubs with categories using hints in the search bar","8103","should search by hint category","webkit","2026-06-24","passed","2026-06-24","search-bar","search-filter-by-hint.spec.ts","",""
"Verify the ""Зареєструватись"" button visibility and routing","5022","[TC-044]","chromium","2026-06-24","passed","2026-06-24","Challenge Page","sign-up-button.spec.ts","",""
"","5863","Step 3 – Second FAQ item expands and reveals its content","webkit","2026-06-24","passed","2026-06-24","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","services-faq.spec.ts","",""
"Verify that club information on the News page matches the original club card on the Club page","7395","should display club on the news page information","webkit","2026-06-24","failed","2026-06-24","news club information","club-club-details-information.spec.ts","",""
"Verify that the search bar filters clubs by the exact club name","6792","should search by exact hint name","chromium","2026-06-24","passed","2026-06-24","search-bar","search-filter-by-hint.spec.ts","",""
"Verify that a registered user with confirmed email can sign in from the main page, the modal closes, and the header reflects the logged-in state.","5899","Sign In - Successful Login","chromium","2026-06-24","passed","2026-06-24","","sign-in-successful-login.spec.ts","",""
"","7214","has title","webkit","2026-06-24","passed","2026-06-24","","speak-ukrainian.example.spec.ts","",""
"Verify that the search bar filters clubs by the exact club name ","6426","should search by exact name","firefox","2026-06-24","passed","2026-06-24","search-bar","search-filter-by-hint.spec.ts","",""
"Filter clubs by city show appropriate results","7602","[TC-05]","chromium","2026-06-24","passed","2026-06-24","Filter clubs by city","filter-by-city.spec.ts","",""
"Verify the ""Зареєструватись"" button visibility and routing","4339","[TC-044]","firefox","2026-06-24","passed","2026-06-24","Challenge Page","sign-up-button.spec.ts","",""
"","4501","Step 2 – First FAQ item collapses on click and expands back","firefox","2026-06-24","passed","2026-06-24","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","services-faq.spec.ts","",""
"Verify that the clubs are located in the city selected in the City dropdown","5030","should search by hint category and exact name","firefox","2026-06-24","passed","2026-06-24","search-bar","search-filter-by-hint.spec.ts","",""
"","9620","Navigate from Challenge page to a specific Task and interact with video @Lazur @E2E","chromium","2026-06-24","passed","2026-06-24","","navigate-challenge-task-video.spec.ts","",""
"Verify that a registered user with confirmed email can sign in from the main page, the modal closes, and the header reflects the logged-in state.","11061","Sign In - Successful Login","webkit","2026-06-24","passed","2026-06-24","","sign-in-successful-login.spec.ts","",""
"Critical E2E flow: sign in, open the first club from the clubs list, post a comment, and verify it appears without validation errors.","10991","E2E — Login → Clubs → Club Page → Post a Comment","firefox","2026-06-24","passed","2026-06-24","","post-comment-e2e.spec.ts","",""
"Verify homepage category selection redirects to the clubs filtered by the chosen category","6956","[TC-6]","chromium","2026-06-24","failed","2026-06-24","Right redirection from home page","filter-check-test.spec.ts","",""
"","6200","Verify task details and embedded videos for task 73","chromium","2026-06-24","passed","2026-06-24","Challenge Task Page content pressnce","challenge-task-page.spec.ts","",""
"","5204","should display comments section","chromium","2026-06-24","failed","2026-06-24","Club details page","club-details-page.spec.ts","",""
"","9257","Verify that the ""Єдині"" challenge page contains ""Допомогти проєкту"" button with redirecting to the payment modal","chromium","2026-06-24","passed","2026-06-24","Payment Challenge","payment-challenge.spec.ts","",""
"","7252","get started link","webkit","2026-06-24","passed","2026-06-24","","speak-ukrainian.example.spec.ts","",""
"Verify homepage category selection redirects to the clubs filtered by the chosen category","9263","[TC-6]","webkit","2026-06-24","failed","2026-06-24","Right redirection from home page","filter-check-test.spec.ts","",""
"","3872","should display contact information","firefox","2026-06-24","failed","2026-06-24","Club details page","club-details-page.spec.ts","",""
"","4424","Step 6 – Last FAQ item collapses on second click and arrow returns to original state","firefox","2026-06-24","passed","2026-06-24","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","services-faq.spec.ts","",""
"","4466","has title","firefox","2026-06-24","passed","2026-06-24","","speak-ukrainian.example.spec.ts","",""
"","4393","Step 1 – Service page loads and shows FAQ items","firefox","2026-06-24","passed","2026-06-24","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","services-faq.spec.ts","",""
"","12907","TC-045 Verify the Tasks Carousel navigation (Arrows and Dots)","webkit","2026-06-24","passed","2026-06-24","Challenge page Tasks Carousel","challenge-carousel.spec.ts","",""
"Verify the ""Зареєструватись"" button visibility and routing","5785","[TC-044]","webkit","2026-06-24","passed","2026-06-24","Challenge Page","sign-up-button.spec.ts","",""
"","5415","Step 5 – Verify accordion behaviour when multiple items are clicked","chromium","2026-06-24","passed","2026-06-24","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","services-faq.spec.ts","",""
"","8611","Full TC-030 flow – expand all FAQ items then collapse the last one","webkit","2026-06-24","passed","2026-06-24","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","services-faq.spec.ts","",""
"Verify that the search bar filters clubs by the exact club name","8647","should search by exact hint name","webkit","2026-06-24","passed","2026-06-24","search-bar","search-filter-by-hint.spec.ts","",""
"","17379","TC-029: Verify that all navigation menu links redirect to the correct pages","firefox","2026-06-24","passed","2026-06-24","Header Navigation Tests","header-navigation.spec.ts","",""
"","7359","Verify task details and embedded videos for task 73","webkit","2026-06-24","passed","2026-06-24","Challenge Task Page content pressnce","challenge-task-page.spec.ts","",""
"Verify that the clubs are located in the city selected in the City dropdown","11208","should display clubs in the particular city","firefox","2026-06-24","passed","2026-06-24","club-city-located","club-city-located.spec.ts","",""
"Filter clubs by city show appropriate results","8307","[TC-05]","firefox","2026-06-24","passed","2026-06-24","Filter clubs by city","filter-by-city.spec.ts","",""
"Critical E2E flow: sign in, open the first club from the clubs list, post a comment, and verify it appears without validation errors.","11800","E2E — Login → Clubs → Club Page → Post a Comment","chromium","2026-06-24","passed","2026-06-24","","post-comment-e2e.spec.ts","",""
"","5377","Step 3 – Second FAQ item expands and reveals its content","chromium","2026-06-24","passed","2026-06-24","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","services-faq.spec.ts","",""
"","18762","Verify that team member names and roles are displayed correctly for all team members","webkit","2026-06-24","passed","2026-06-24","AboutUs team verification","about-us-page.spec.ts","",""
"Verify homepage category selection redirects to the clubs filtered by the chosen category","7043","[TC-6]","firefox","2026-06-24","failed","2026-06-24","Right redirection from home page","filter-check-test.spec.ts","",""
"","11752","Verify that the ""Навчай українською"" challenge page contains ""Допомогти проєкту"" button with redirecting to the payment modal","firefox","2026-06-24","passed","2026-06-24","Payment Challenge","payment-challenge.spec.ts","",""
"","7559","Verify that team member names and roles are displayed correctly for all team members","firefox","2026-06-24","passed","2026-06-24","AboutUs team verification","about-us-page.spec.ts","",""
"","9925","Verify that the ""Єдині"" challenge page contains ""Допомогти проєкту"" button with redirecting to the payment modal","firefox","2026-06-24","passed","2026-06-24","Payment Challenge","payment-challenge.spec.ts","",""
"","5113","get started link","chromium","2026-06-24","passed","2026-06-24","","speak-ukrainian.example.spec.ts","",""
"","4361","Step 3 – Second FAQ item expands and reveals its content","firefox","2026-06-24","passed","2026-06-24","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","services-faq.spec.ts","",""
"","10634","Verify that the ""Навчай українською челендж"" challenge page contains ""Допомогти проєкту"" button with redirecting to the payment modal","firefox","2026-06-24","passed","2026-06-24","Payment Challenge","payment-challenge.spec.ts","",""
"Verify that the clubs are located in the city selected in the City dropdown","10454","should display clubs in the particular city","chromium","2026-06-24","passed","2026-06-24","club-city-located","club-city-located.spec.ts","",""
"","4838","Verify that the News component displays the same news articles after navigating right and then left","firefox","2026-06-24","passed","2026-06-24","News page arrow navigation","news-arrow-navigation.spec.ts","",""
"","7335","TC-035: Verify that the club search returns correct results when searching by club name ""American Gymnastics Club"" @High","firefox","2026-06-24","failed","2026-06-24","Clubs Page - Search Functionality","search-club.spec.ts","",""
"","16670","Verify that the ""Мовомаратон"" challenge page contains ""Допомогти проєкту"" button with redirecting to the payment modal","webkit","2026-06-24","passed","2026-06-24","Payment Challenge","payment-challenge.spec.ts","",""
"","5491","has title","chromium","2026-06-24","passed","2026-06-24","","speak-ukrainian.example.spec.ts","",""
"","9489","Verify that the ""Мовомаратон"" challenge page contains ""Допомогти проєкту"" button with redirecting to the payment modal","firefox","2026-06-24","passed","2026-06-24","Payment Challenge","payment-challenge.spec.ts","",""
"","5377","Step 4 – Third FAQ item expands and reveals its content","chromium","2026-06-24","passed","2026-06-24","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","services-faq.spec.ts","",""
"","3831","should display club action buttons and comments section","firefox","2026-06-24","failed","2026-06-24","Club details page","club-details-page.spec.ts","",""
"Verify Social Media and Donation links routing on the Challenge page","10302","Verify Social Media and Donation links routing on the Challenge page","webkit","2026-06-24","passed","2026-06-24","TC-043","social-info-test.spec.ts","",""
"","6045","TC-045 Verify the Tasks Carousel navigation (Arrows and Dots)","firefox","2026-06-24","passed","2026-06-24","Challenge page Tasks Carousel","challenge-carousel.spec.ts","",""
"Verify that the search bar filters clubs by the exact club name ","8071","should search by exact name","chromium","2026-06-24","passed","2026-06-24","search-bar","search-filter-by-hint.spec.ts","",""
"","4200","should display main club details","firefox","2026-06-24","failed","2026-06-24","Club details page","club-details-page.spec.ts","",""
"","9242","Navigate from Challenge page to a specific Task and interact with video @Lazur @E2E","firefox","2026-06-24","passed","2026-06-24","","navigate-challenge-task-video.spec.ts","",""
"","3672","should display comments section","firefox","2026-06-24","failed","2026-06-24","Club details page","club-details-page.spec.ts","",""
"","6094","Step 2 – First FAQ item collapses on click and expands back","webkit","2026-06-24","passed","2026-06-24","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","services-faq.spec.ts","",""
"","17592","Verify that the ""Клуб української мови ""Розмовляй"""" challenge page contains ""Допомогти проєкту"" button with redirecting to the payment modal","webkit","2026-06-24","passed","2026-06-24","Payment Challenge","payment-challenge.spec.ts","",""
"","5676","Verify task details and embedded videos for task 73","firefox","2026-06-24","passed","2026-06-24","Challenge Task Page content pressnce","challenge-task-page.spec.ts","",""
"","4898","Full TC-030 flow – expand all FAQ items then collapse the last one","firefox","2026-06-24","passed","2026-06-24","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","services-faq.spec.ts","",""
"Verify Social Media and Donation links routing on the Challenge page","6937","Verify Social Media and Donation links routing on the Challenge page","chromium","2026-06-24","passed","2026-06-24","TC-043","social-info-test.spec.ts","",""
"","3961","should display contact information","chromium","2026-06-24","failed","2026-06-24","Club details page","club-details-page.spec.ts","",""
"","6799","Step 5 – Verify accordion behaviour when multiple items are clicked","webkit","2026-06-24","passed","2026-06-24","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","services-faq.spec.ts","",""
"","9504","Verify that the ""Клуб української мови ""Розмовляй"""" challenge page contains ""Допомогти проєкту"" button with redirecting to the payment modal","chromium","2026-06-24","passed","2026-06-24","Payment Challenge","payment-challenge.spec.ts","",""
"","9915","TC-035: Verify that the club search returns correct results when searching by club name ""American Gymnastics Club"" @High","webkit","2026-06-24","failed","2026-06-24","Clubs Page - Search Functionality","search-club.spec.ts","",""
"","9984","TC-07 Verify the functionality of the ""Help the Project"" button on a news article page","chromium","2026-06-24","passed","2026-06-24","Help the Project button","help-project-button.spec.ts","",""
"","16176","Verify that the ""Єдині"" challenge page contains ""Допомогти проєкту"" button with redirecting to the payment modal","webkit","2026-06-24","passed","2026-06-24","Payment Challenge","payment-challenge.spec.ts","",""
"","14512","TC-07 Verify the functionality of the ""Help the Project"" button on a news article page","webkit","2026-06-24","passed","2026-06-24","Help the Project button","help-project-button.spec.ts","",""
"Critical E2E flow: sign in, open the first club from the clubs list, post a comment, and verify it appears without validation errors.","23886","E2E — Login → Clubs → Club Page → Post a Comment","webkit","2026-06-24","passed","2026-06-24","","post-comment-e2e.spec.ts","",""
"","7274","TC-035: Verify that the club search returns correct results when searching by club name ""American Gymnastics Club"" @High","chromium","2026-06-24","failed","2026-06-24","Clubs Page - Search Functionality","search-club.spec.ts","",""
